Scene no.,evaporation_and_natural_disperson,persistence,oil_amount_to_recover,E_ss,E_sl,E_sw,E_sb,E_ssC,E_slC,E_swC,E_sbC,E_ssI,E_slI,E_swI,E_sbI,water_temp,wind,air_temp,ice,oil_density,oil_viscosity,retaining_capacity,shoreline_length,distance_to_inhabitation,seawater,seasurface,residue_recovery,soot_pollution,displacement,sufficient_mixing_energy,MCR options,CDU options,ISB options
Scene 11,0.730337079,1,0.189643332,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.568627451,0.202247191,0.549019608,0.545454545,0.510204082,0.947368421,1,0.669721621,0.582822086,0,0,1,0,0,0,10,-10,10
Scene 12,0.191011236,0,0.955329657,1,0,0,0.5,0.5,0.5,0.5,0.5,0,1,1,0.5,0.137254902,0.123595506,0.666666667,0.323232323,0.163265306,0.631578947,0,0.617560262,0.132924335,0,0,0,1,0,0,10,-10,8
Scene 13,0.303370787,0,0.80883466,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,1,0.549019608,0.865168539,1,0.202020202,0.918367347,0.473684211,0,0.679434707,0.388548057,0,0,0,1,1,0,10,-10,10
Scene 14,0.348314607,0,0.126283091,0.5,0,1,0.5,0.5,0,0,0.5,0.5,0.5,1,0.5,0.549019608,0.696629213,0.862745098,0.222222222,0.224489796,1,0,0.054697566,0.957055215,0,0,1,1,0,0,-2,-10,8
Scene 15,0.202247191,1,0.68742263,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.490196078,0.988764045,0.725490196,0.363636364,0.571428571,0.684210526,1,0.281943368,0.991820041,0,0,1,0,0,0,10,-10,10
Scene 16,0.08988764,0,0.010888951,1,1,0.5,0.5,0,1,0.5,0.5,0,1,0.5,0,0.450980392,0.865168539,0.803921569,0.545454545,0.734693878,1,0,0.956666786,0.865030675,0,0,0,1,1,0,-2,-10,10
Scene 17,0.078651685,0,0.217653778,1,0.5,1,0.5,0,0.5,0.5,0.5,1,0.5,0.5,0.5,0.588235294,0.235955056,0.196078431,0.929292929,0.510204082,0.157894737,0,0.194523429,0.417177914,0,0,1,0,0,1,10,10,10
Scene 18,0.696629213,1,0.663992498,0,1,0,1,1,0,1,0.5,1,0,1,1,0.980392157,0.640449438,0.921568627,0.98989899,0.734693878,0,1,0.901028761,0.028629857,0,0,0,1,0,1,10,10,8
Scene 19,0.93258427,0,0.362027259,0.5,0.5,1,0.5,0,0.5,0,1,0.5,0.5,0.5,1,0.784313725,1,0.960784314,0.444444444,0.714285714,0.421052632,0,0.891914641,0.869120654,0,0,0,1,0,1,-2,-2,8
Scene 20,0.112359551,0,0.120515345,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0,0.5,1,0,0.411764706,0.348314607,0.529411765,0.434343434,0.816326531,0.210526316,0,0.101192984,0.026584867,0,0,1,1,1,1,10,10,10
Scene 21,0.651685393,1,0.152933642,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,1,1,0.941176471,0.033707865,0.294117647,0.787878788,0.918367347,0.210526316,1,0.278288578,0.382413088,0,0,0,1,1,1,-2,-10,10
Scene 22,0.820224719,0,0.490197298,1,1,0.5,0,1,0.5,0.5,0,0.5,1,0.5,0,0.235294118,0.426966292,0.37254902,0.636363636,0.653061224,0.473684211,0,0.160518886,0.417177914,0,0,0,1,1,1,10,-10,10
Scene 23,0.325842697,0,0.142218475,0.5,0.5,1,1,0.5,0.5,1,1,0.5,0.5,1,1,0.549019608,0.831460674,0.862745098,0.808080808,0.163265306,0.263157895,0,0.983372165,0.846625767,0,0,1,1,0,0,10,-10,8
Scene 24,0.202247191,0,0.016456148,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.843137255,0.764044944,0.764705882,0.777777778,0.897959184,0.947368421,0,0.584604685,0.685071575,0,0,0,0,1,0,10,-10,10
Scene 25,0.370786517,0,0.944816857,0.5,0.5,1,0,0.5,0.5,0,0.5,0.5,0.5,0.5,1,0.37254902,0.471910112,0.411764706,0.666666667,0.918367347,0.894736842,0,0.918730047,0.206543967,0,0,0,0,1,1,10,-10,10
Scene 26,0.887640449,0,0.093794111,0,0,0.5,0.5,0,1,0,0.5,0.5,1,1,0.5,0.196078431,0.719101124,0.549019608,0.313131313,0.163265306,0.526315789,0,0.095874523,0.703476483,0,0,0,1,1,1,-2,8,10
Scene 27,0.831460674,1,0.895469178,0.5,0.5,0.5,0,1,1,0.5,0,0.5,0,0.5,0,0.156862745,0.516853933,0.117647059,0.171717172,0.693877551,0.842105263,1,0.495740938,0.580777096,0,0,0,1,0,0,10,-10,8
Scene 28,0.325842697,1,0.889597549,0.5,0.5,0.5,0,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.098039216,0.348314607,0.568627451,0.777777778,0.06122449,0.578947368,1,0.624557869,0.63599182,0,0,0,1,1,1,10,10,10
Scene 29,0.325842697,0,0.974457801,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0.843137255,0.662921348,0.803921569,0.222222222,0.244897959,0.736842105,0,0.024178974,0.449897751,0,0,0,0,0,1,10,10,10
Scene 30,0.280898876,0,0.976985964,0,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.039215686,0.247191011,0.62745098,0.262626263,0.693877551,0.105263158,0,0.800160392,0.196319018,0,0,1,0,1,0,-2,-10,10
Scene 31,0.617977528,1,0.59540171,0.5,1,1,0,0.5,1,0.5,1,0.5,1,0.5,1,0.37254902,0.93258427,0.862745098,0.616161616,0.897959184,0.894736842,1,0.296142936,0.447852761,0,0,1,0,1,0,-2,-10,10
Scene 32,0.213483146,0,0.012681756,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,1,0.5,0.392156863,0.438202247,0.098039216,0.333333333,0.367346939,0,0,0.174554343,0.885480573,0,0,1,0,1,1,8,-10,10
Scene 33,0.595505618,1,0.84792132,0.5,1,0.5,0,0.5,1,0.5,0,0.5,1,0.5,0.5,0.431372549,0.460674157,0.156862745,0.555555556,0.469387755,0.631578947,1,0.052882955,0.63394683,0,0,0,1,0,1,-2,-10,8
Scene 34,0.359550562,1,0.405263772,1,0,0.5,1,0.5,0.5,0.5,1,0.5,0,0.5,0,0.647058824,0.134831461,0.235294118,0.393939394,0.510204082,0.105263158,1,0.99562253,0.950920245,0,0,1,1,1,0,-2,-10,10
Scene 35,0.764044944,1,0.388938113,1,0.5,0.5,0.5,0.5,0.5,0.5,0,1,0.5,0.5,0,0.666666667,0.595505618,0.392156863,0.474747475,0.142857143,0.105263158,1,0.277470997,0.699386503,0,0,1,1,1,0,-2,-10,10
Scene 36,0.168539326,1,0.389396215,1,0.5,0,1,1,0.5,0,1,0,1,1,0,0.470588235,0.202247191,0.549019608,0.131313131,0.897959184,0.631578947,1,0.832770278,0.574642127,0,0,1,0,0,1,10,10,10
Scene 37,0.303370787,0,0.009924636,1,0.5,0.5,0.5,0,0.5,0.5,0.5,0,1,0.5,0.5,0.568627451,1,0.764705882,0.161616162,0.571428571,1,0,0.677934642,0.527607362,0,0,0,0,1,1,10,10,10
Scene 38,0.168539326,1,0.778645452,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.058823529,0.730337079,0.058823529,0.111111111,0.367346939,0.947368421,1,0.438796269,0.985685072,0,0,1,0,0,0,10,-10,10
Scene 39,0.93258427,0,0.030656023,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0.5,0.5,0.274509804,0.146067416,0.176470588,0.535353535,0.775510204,0.421052632,0,0.092476356,0.1799591,0,0,0,1,1,0,8,-10,10
Scene 40,0.123595506,1,0.14225337,0.5,0.5,0,1,0.5,1,1,0,0.5,0,0,1,0.156862745,0.101123596,0.196078431,0.808080808,0.632653061,0.947368421,1,0.810466721,0.963190184,0,0,1,1,1,0,10,-10,10
Scene 41,0.95505618,0,0.064929072,0.5,0,0.5,0.5,0,0.5,0.5,0.5,1,0.5,0.5,0.5,0.568627451,0.449438202,0.392156863,0.242424242,0.816326531,0.736842105,0,0.855876281,0.018404908,0,0,0,1,0,0,-2,-10,8
Scene 42,0.91011236,0,0.520239834,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.588235294,0.460674157,0.431372549,0.646464646,0.285714286,0.736842105,0,0.832907111,0.54192229,0,0,0,0,1,1,2,10,10
Scene 43,0.348314607,0,0.880564476,0.5,0.5,0.5,0.5,1,0,0.5,0.5,1,0,0.5,0.5,0.392156863,0.674157303,0.156862745,0.070707071,0.755102041,0.578947368,0,0.572076214,0.918200409,0,0,1,1,0,0,2,-10,8
Scene 44,0.831460674,1,0.757093248,0.5,0.5,0,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0.411764706,0.584269663,0.882352941,0.595959596,0.408163265,0.210526316,1,0.522010945,0.734151329,0,0,0,0,1,0,-2,-10,10
Scene 45,0.764044944,0,0.360703278,0.5,0.5,0.5,0,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.117647059,0.539325843,0.607843137,0.787878788,0.204081633,0.947368421,0,0.949506507,0.783231084,0,0,1,1,1,0,8,-10,10
Scene 46,0.04494382,1,0.907925647,0.5,1,1,0.5,0.5,1,1,1,0.5,0.5,0.5,0.5,0.294117647,0.179775281,0.392156863,0.616161616,0.653061224,0.894736842,1,0.11443939,0.104294479,0,0,1,0,1,1,10,10,10
Scene 47,0.123595506,0,0.995129841,0.5,1,0,0.5,0.5,0,0.5,0.5,1,1,0,1,0.764705882,0.303370787,0.921568627,0.03030303,0.142857143,0.473684211,0,0.668703846,0.689161554,0,0,0,1,0,1,10,10,8
Scene 48,0.202247191,0,0.639867803,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0.5,0.5,1,0.607843137,0.617977528,0.431372549,0.646464646,0.102040816,0.736842105,0,0.561326257,0.979550102,0,0,0,1,0,0,-2,-10,8
Scene 49,0.382022472,1,0.99057695,0.5,1,1,1,0.5,0.5,0,0.5,0.5,0,0.5,0,0.078431373,0.337078652,0.803921569,0.909090909,0.734693878,0.315789474,1,0.147404057,0.00204499,0,0,1,0,0,0,10,-10,10
Scene 50,0.146067416,1,0.161000625,1,1,1,0.5,0,0.5,0,1,0,0,1,1,0.62745098,0.752808989,0.62745098,0.303030303,0.040816327,0.736842105,1,0.104485656,0.413087935,0,0,1,0,0,1,10,-2,-2
Scene 51,1,1,0.217497467,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.823529412,0.325842697,0.960784314,0.212121212,0.673469388,0.947368421,1,0.350938022,0,0,0,0,1,0,1,8,10,8
Scene 52,0.988764045,0,0.575350707,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.529411765,0.449438202,0.431372549,0.727272727,0.367346939,0.157894737,0,0.534235625,0.901840491,0,0,0,1,0,0,2,-10,8
Scene 53,0.157303371,1,0.300171249,1,0,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0,0.823529412,0.325842697,0.980392157,0.626262626,0.12244898,0.736842105,1,0.465185935,0.758691207,0,0,1,0,0,1,-2,10,10
Scene 54,0.101123596,0,0.262472583,0,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.705882353,0.02247191,0.156862745,0.383838384,0.142857143,0.789473684,0,0.520842965,0.623721881,0,0,1,0,1,1,-2,10,10
Scene 55,0.325842697,1,0.013581584,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,1,0.098039216,0.337078652,0.37254902,0.282828283,0.326530612,0.842105263,1,0.035441497,0.388548057,0,0,0,1,1,1,10,10,10
Scene 56,0.269662921,1,0.85005982,1,0.5,0.5,1,1,0.5,1,0.5,0,0.5,1,0.5,1,0.224719101,0.039215686,0.676767677,0.632653061,0.157894737,1,0.861713393,0.946830266,0,0,1,1,0,1,10,10,8
Scene 57,0.179775281,1,0.381517502,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.960784314,0.02247191,0.764705882,0.949494949,0.265306122,0,1,0.107410219,0.153374233,0,0,0,1,0,1,8,-10,8
Scene 58,0.943820225,1,0.766228163,0,0.5,0.5,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0.392156863,0.573033708,0.196078431,0.080808081,0.734693878,0.210526316,1,0.656270491,0.938650307,0,0,1,1,1,1,-2,-10,10
Scene 59,0.820224719,1,0.115482267,1,0.5,1,0.5,0.5,0.5,0.5,0,1,0.5,0,0,0.901960784,0.04494382,0.588235294,0.494949495,0,0.157894737,1,0.044597182,0.72801636,1,0,0,0,1,1,10,-10,10
Scene 60,0.719101124,0,0.753402124,1,0.5,0.5,0.5,0,1,0.5,0.5,1,0,0.5,0.5,0.862745098,0.146067416,0.803921569,0.02020202,0.224489796,0,0,0.282426005,0.936605317,0,0,1,0,1,0,-2,-10,10
Scene 61,0.168539326,0,0.178844752,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0.450980392,0.471910112,0.039215686,0.060606061,0.571428571,0.578947368,0,0.303152923,0.625766871,0,0,0,1,0,0,10,-10,8
Scene 62,0.865168539,0,0.956451492,0.5,0,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0.450980392,0.337078652,0.843137255,0.535353535,0.918367347,0.105263158,0,0.049644788,0.044989775,0,0,0,1,0,0,10,-10,8
Scene 63,0.820224719,0,0.97163535,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.37254902,0.359550562,0.352941176,0.828282828,0.775510204,1,0,0.58108782,0.967280164,0,0,1,0,0,0,2,-10,10
Scene 64,0.247191011,1,0.267762763,0.5,0.5,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,0,0.274509804,0.775280899,0.235294118,0.353535354,0.979591837,0.473684211,1,0.733260935,0.603271984,0,0,1,1,1,1,8,10,10
Scene 65,0.123595506,0,0.787240577,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0,0,0.5,1,0.450980392,0.707865169,0.431372549,0.464646465,0.367346939,0.157894737,0,0.265040139,0.143149284,0,0,0,1,1,1,10,10,-2
Scene 66,0.505617978,1,0.748637135,0.5,0,1,1,1,0.5,0,1,1,1,0,0.5,0.450980392,0.449438202,0.156862745,0.909090909,0.367346939,0.157894737,1,0.912081285,0.54805726,0,0,1,1,1,0,10,-10,10
Scene 67,0.719101124,1,0.738129484,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.901960784,0.775280899,0.294117647,0.02020202,0.673469388,0.315789474,1,0.592703447,0.683026585,0,0,1,0,0,1,8,10,10
Scene 68,0.685393258,0,0.201855869,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.176470588,0.831460674,0,0.797979798,0.632653061,0.684210526,0,0.679192631,0.36605317,0,0,0,0,0,0,-2,-10,10
Scene 69,0.337078652,0,0.926925765,0.5,0.5,1,0,0.5,1,0.5,0.5,0.5,0.5,1,0.5,1,0.06741573,0.62745098,0.161616162,0.448979592,0.315789474,0,0.359536275,0.766871166,0,0,1,1,1,0,10,-10,10
Scene 70,0.078651685,1,0.291333196,0,0.5,0.5,0.5,0,1,0.5,0.5,0.5,1,0.5,0.5,0.431372549,0.561797753,0.68627451,0.383838384,0.12244898,0.105263158,1,0.128334002,0.488752556,0,0,0,1,1,0,10,-10,10
Scene 71,0.235955056,1,0.531364755,0.5,0,0,0,0.5,0,0,0,0.5,1,1,1,0.176470588,0.629213483,0.901960784,0.01010101,0.306122449,0.368421053,1,0.232943765,0.582822086,0,0,0,1,0,1,-2,-10,8
Scene 72,0.404494382,0,0.320423236,1,1,0.5,0.5,1,0,0.5,0.5,1,0,0.5,0.5,0.274509804,0.842696629,0.235294118,0.02020202,0.06122449,0.947368421,0,0.673465031,0.515337423,0,0,0,1,0,1,-2,10,8
Scene 73,0.471910112,0,0.451015106,1,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,1,0.5,0.862745098,0.573033708,0.784313725,0.515151515,0.428571429,0.473684211,0,0.877615422,0.224948875,0,0,1,1,0,0,10,-10,8
Scene 74,0.202247191,1,0.179453875,0.5,0,0,1,0.5,1,0,0.5,0.5,0.5,0,0.5,0.392156863,0.08988764,0.235294118,0.787878788,0.857142857,0.736842105,1,0.169279019,0.887525562,0,0,0,1,1,1,-2,10,10
Scene 75,0.93258427,1,0.687223404,0.5,1,0.5,0,0.5,0,0.5,0,1,0,0.5,1,0.176470588,0.764044944,0.196078431,0.525252525,0.469387755,0.894736842,1,0.422193289,0.944785276,0,0,1,1,1,1,-2,-10,10
Scene 76,0.651685393,1,0.78528096,0,0.5,0.5,1,0,0.5,1,0,1,0.5,1,0,0.823529412,0.651685393,0.862745098,0.727272727,0.285714286,0.789473684,1,0.716950933,0.91002045,0,0,1,1,0,1,-2,-10,8
Scene 77,0.06741573,0,0.953568514,1,0,0,0.5,0.5,0.5,0,0.5,1,1,0,0.5,0.980392157,0.04494382,0.450980392,0.515151515,0.959183673,0.684210526,0,0.782059412,0.961145194,0,0,1,0,1,0,10,-10,10
Scene 78,0.426966292,0,0.710083609,0,1,0.5,0,1,0.5,0,0.5,0,0.5,0,0.5,0.450980392,0.02247191,0.843137255,0.353535354,0.102040816,0.842105263,0,0.36121985,0.018404908,0,0,1,0,0,0,10,-10,10
Scene 79,0.528089888,0,0.700306812,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.901960784,0.056179775,0.745098039,0.343434343,0.163265306,0.263157895,0,0.113630674,0.507157464,0,0,1,1,0,0,10,-10,8
Scene 80,0.943820225,0,0.851475315,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.666666667,0.06741573,0.62745098,0.01010101,0.918367347,0.105263158,0,0.12384472,0.764826176,0,0,1,0,1,1,2,-10,10
Scene 81,0.651685393,0,0.981519829,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.058823529,0.303370787,1,0.555555556,0.836734694,0.631578947,0,0.148033103,0.678936605,0,0,0,0,0,1,2,-10,10
Scene 82,0.247191011,0,0.266327396,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.450980392,0.494382022,0.941176471,0.070707071,0.714285714,0.684210526,0,0.282540733,0.930470348,0,0,1,1,1,1,10,10,10
Scene 83,0.550561798,0,0.227944496,0.5,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.411764706,0.674157303,0,0.01010101,0.367346939,0,0,0.441352526,0.875255624,0,0,1,0,0,1,8,10,10
Scene 84,0.494382022,0,0.823065206,0,0.5,0.5,0.5,1,0.5,0.5,0,0,0.5,0.5,0,0.823529412,0.370786517,0.294117647,0.080808081,0.306122449,0.052631579,0,0.769466848,0.985685072,0,0,0,0,1,0,-2,-10,8
Scene 85,0,1,0.220766655,0.5,1,0.5,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0.352941176,0.269662921,0.470588235,0.171717172,1,0.368421053,1,0.295926853,0.102249489,0,0,1,1,1,1,10,-10,10
Scene 86,0.213483146,1,0.623450222,0.5,0,1,0.5,0,0,0.5,1,1,1,0.5,0.5,0.137254902,0.764044944,0.176470588,0.454545455,0.714285714,0.210526316,1,0.395495489,0.674846626,0,0,0,0,0,1,-2,-2,10
Scene 87,0.247191011,0,0.95584025,1,1,0.5,1,0,0.5,0.5,1,0.5,0,0.5,0,0.352941176,0.853932584,0.901960784,0.424242424,0.979591837,0.263157895,0,0.092794263,0.615541922,0,0,1,1,0,0,10,-10,8
Scene 88,0.393258427,0,0.398259949,0,0.5,1,0.5,1,0.5,0,0.5,0.5,0.5,0.5,0.5,1,0.123595506,0.411764706,0.505050505,0.591836735,0.526315789,0,0.998658862,0.429447853,0,0,0,0,1,1,-2,10,10
Scene 89,0.348314607,0,0.82718938,0.5,0.5,0.5,0.5,1,0.5,0.5,1,1,0.5,0.5,0,0.078431373,0.191011236,0.62745098,0.878787879,1,0.315789474,0,0.214036946,0.073619632,0,0,1,1,0,1,2,10,8
Scene 90,0.348314607,0,0.189150461,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0.156862745,0.719101124,0.62745098,0.676767677,0.979591837,0.157894737,0,0.892769908,0.646216769,0,0,0,0,0,1,10,10,10
Scene 91,0.943820225,0,0.407608155,0.5,0.5,0.5,1,0.5,0.5,1,1,0.5,0.5,1,0,0.333333333,0.157303371,0.68627451,0.868686869,0.653061224,0,0,0.828381427,0.431492843,0,0,1,1,1,0,8,-10,10
Scene 92,0.438202247,0,0.067395098,0,0.5,0.5,0.5,0,1,1,0.5,1,0,0,0.5,0.921568627,0.370786517,0.117647059,0.232323232,0.224489796,0.368421053,0,0.12678294,0.075664622,0,0,0,1,1,1,10,-2,10
Scene 93,0.865168539,1,0.358522428,0.5,0.5,0,1,0,0.5,1,0.5,1,1,0,0.5,0.490196078,0.95505618,0.843137255,0.575757576,0.510204082,0.894736842,1,0.32403731,0.435582822,0,0,1,0,0,1,10,-2,10
Scene 94,0.011235955,1,0.103114298,0.5,0.5,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.960784314,0.640449438,0.941176471,0.97979798,0.897959184,0.473684211,1,0.74656436,0.918200409,0,0,1,0,0,1,10,-10,10
Scene 95,0.606741573,0,0.148379746,0.5,1,0.5,0,0.5,1,0,1,0.5,1,0.5,1,0.137254902,0.08988764,0.196078431,0.545454545,0.163265306,0.473684211,0,0.958258374,0.335378323,0,0,1,1,0,1,-2,10,8
Scene 96,0,0,0.024180395,0,0.5,0.5,0.5,1,0.5,0.5,0.5,0,1,0.5,0,0.37254902,0.303370787,0.509803922,0.949494949,0.979591837,0.473684211,0,0.482515827,0.578732106,0,0,0,0,0,1,-2,10,10
Scene 97,0.606741573,1,0.47127692,0,0.5,0,1,0,0.5,0.5,0,1,0.5,0.5,0,0.745098039,0.808988764,0.31372549,0.606060606,0.265306122,0,1,0.186586553,0.952965235,0,0,1,1,0,1,10,-10,8
Scene 98,0.966292135,1,0.24172278,0.5,0.5,0.5,0.5,0,0,0,0,0,1,0,0.5,0.058823529,0.93258427,0.549019608,0.363636364,0.040816327,0.578947368,1,0.814801695,0.372188139,0,0,1,0,1,0,8,-10,10
Scene 99,0.786516854,1,0.077755487,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.921568627,0.842696629,0.725490196,0.333333333,0,0.473684211,1,0.821869471,0.370143149,1,0,1,0,1,1,10,-10,10
Scene 100,0.460674157,0,0.003464172,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.156862745,0.359550562,0.156862745,0.03030303,0.020408163,0.368421053,0,0.928899818,0.924335378,0,0,1,0,1,0,8,-10,10
Scene 101,0.247191011,1,0.237839995,1,0.5,0,0,0,0.5,1,0,0.5,0,1,0.5,0.529411765,0.078651685,0.568627451,0.545454545,0.448979592,0.105263158,1,0.831141233,0.799591002,0,0,0,0,0,1,10,-10,10
Scene 102,0.292134831,0,0.417746173,0.5,0,0,0.5,1,0.5,0.5,0.5,0,1,1,0.5,0.490196078,0.235955056,0.274509804,0.565656566,0.653061224,0.894736842,0,0.610731831,0.386503067,0,0,1,0,0,1,10,10,-2
Scene 103,0.146067416,0,0.124709857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.68627451,0.719101124,0.294117647,0.535353535,0.387755102,0.736842105,0,0.032081806,0.562372188,0,0,0,1,1,0,10,-10,10
Scene 104,0.471910112,1,0.574691872,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0.725490196,0.584269663,0.333333333,0,0.142857143,0.157894737,1,0.030893798,0.977505112,0,0,0,0,1,0,8,-10,10
Scene 105,0.382022472,0,0.658452955,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.31372549,0.235955056,0.68627451,0.595959596,0.346938776,0.789473684,0,0.495940235,0.408997955,0,0,1,0,1,0,10,-10,10
Scene 106,0.033707865,0,0.392643899,1,0.5,1,0.5,1,0.5,0,0.5,0,0.5,0.5,0.5,0.588235294,0.696629213,0.68627451,0.646464646,0.591836735,0.947368421,0,0.447532302,0.286298569,0,0,0,1,1,0,-2,-10,10
Scene 107,0.730337079,0,0.058528657,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.823529412,0.02247191,0.784313725,0.767676768,0.632653061,0.842105263,0,0.901379189,0.899795501,0,0,0,0,0,0,8,-10,10
