Scene no.,oil_spill_size,evaporation_and_natural_disperson,persistence,oil_amount_to_recover,E_ss,E_sl,E_sw,E_sb,sufficient_mixing_energy,seasurface,seawater,Rtime_ss,Rtime_sw,E_ssC,E_slC,E_swC,E_sbC,soot_pollution,residue_recovery,displacement,E_ssI,E_slI,E_swI,E_sbI,water_temp,wind,air_temp,ice,oil_density,oil_viscosity,oil_amount_to_recover.1,displacement.1,retaining_capacity,shoreline_length,distance_to_inhabitation,mcr_DT_output,cdu_DT_output,isb_DT_output
Scene 12,MEDIUM,27,0,1.914259195,1,-1,-1,0,no,Large,Large,Short,Short,0,0,0,0,YES soot pollution,no,no,-1,1,1,0,-43,21,-16,32,8,14,1.914259195,no,0,3.47050691,75,OK ,Not recommended ,Consider 
Scene 13,MEDIUM,37,0,1.636124253,0,0,0,0,no,Large,Large,Short,Short,0,0,0,-1,YES soot pollution,no,yes,0,0,0,1,-22,87,1,20,45,11,1.636124253,yes,0,3.717908259,200,OK ,Not recommended ,OK 
Scene 14,SMALL,41,0,0.340233982,0,-1,1,0,no,Large,Large,Short,Short,0,-1,-1,0,YES soot pollution,yes,no,0,0,1,0,-22,72,-6,22,11,21,0.340233982,no,0,1.219933366,478,Unknown,Not recommended ,Consider 
Scene 15,LARGE,28,1,1.405611753,0,0,0,0,no,Large,Large,Short,Short,0,0,0,-1,NO soot pollution,yes,no,0,0,0,-1,-25,98,-13,36,28,15,1.405611753,no,1,2.128562404,495,OK ,Not recommended ,OK 
Scene 16,SMALL,18,0,0.121147029,1,1,0,0,no,Large,Large,Short,Short,-1,1,0,0,YES soot pollution,no,yes,-1,1,0,-1,-27,87,-9,54,36,21,0.121147029,yes,0,4.826404498,433,Unknown,Not recommended ,OK 
Scene 17,LARGE,17,0,0.513710082,1,0,1,0,yes,Large,Large,Short,Short,-1,0,0,0,NO soot pollution,yes,no,1,0,0,0,-20,31,-40,92,25,5,0.513710082,no,0,1.779018896,214,OK ,OK ,OK 
Scene 18,LARGE,72,1,1.361127377,-1,1,-1,1,yes,Large,Large,Short,Short,1,-1,1,0,YES soot pollution,no,no,1,-1,1,1,0,67,-3,98,36,2,1.361127377,no,1,4.603939113,24,OK ,OK ,Consider 
Scene 19,SMALL,93,0,0.787817121,0,0,1,0,yes,Large,Large,Short,Short,-1,0,-1,1,YES soot pollution,no,no,0,0,0,1,-10,99,-1,44,35,10,0.787817121,no,0,4.567496838,435,Unknown,Unknown,Consider 
Scene 20,MEDIUM,20,0,0.329283357,0,0,-1,-1,yes,Large,Large,Short,Short,0,0,0,0,YES soot pollution,yes,yes,-1,0,1,-1,-29,41,-23,43,40,6,0.329283357,yes,0,1.405842573,23,OK ,OK ,OK 
Scene 21,SMALL,68,1,0.390832633,-1,0,0,0,yes,Large,Large,Short,Short,-1,0,0,-1,YES soot pollution,no,yes,0,0,1,1,-2,13,-35,78,45,6,0.390832633,yes,1,2.11394894,197,Unknown,Not recommended ,OK 
Scene 22,LARGE,83,0,1.031160355,1,0,0,-1,yes,Large,Large,Short,Short,1,0,0,-1,YES soot pollution,no,yes,0,1,0,-1,-38,48,-31,63,32,11,1.031160355,yes,0,1.643053722,214,OK ,Not recommended ,OK 
Scene 23,LARGE,39,0,0.370488852,0,0,1,1,no,Large,Large,Short,Short,0,0,1,1,YES soot pollution,yes,no,0,0,1,1,-22,84,-6,80,8,7,0.370488852,no,0,4.933184392,424,OK ,Not recommended ,Consider 
Scene 24,LARGE,28,0,0.131716892,0,0,0,0,no,Large,Large,Short,Short,1,0,0,0,NO soot pollution,no,yes,0,0,0,0,-7,78,-11,77,44,20,0.131716892,yes,0,3.338735963,345,OK ,Not recommended ,OK 
Scene 25,LARGE,43,0,1.894299626,0,0,1,-1,yes,Large,Large,Short,Short,0,0,-1,0,NO soot pollution,no,yes,0,0,0,1,-31,52,-29,66,45,19,1.894299626,yes,0,4.674716667,111,OK ,Not recommended ,OK 
Scene 26,MEDIUM,89,0,0.278550506,-1,-1,0,0,yes,Large,Large,Short,Short,-1,1,-1,0,YES soot pollution,no,yes,0,1,1,0,-40,74,-22,31,8,12,0.278550506,yes,0,1.384577019,354,Unknown,Consider ,OK 
Scene 27,LARGE,84,1,1.800608277,0,0,0,-1,no,Large,Large,Short,Short,1,1,0,-1,YES soot pollution,no,no,0,-1,0,-1,-42,56,-44,17,34,18,1.800608277,no,1,2.983419472,294,OK ,Not recommended ,Consider 
Scene 28,LARGE,39,1,1.789460421,0,0,0,-1,yes,Large,Large,Short,Short,0,0,1,1,YES soot pollution,no,yes,0,0,0,0,-45,41,-21,77,3,13,1.789460421,yes,1,3.498486432,321,OK ,OK ,OK 
Scene 29,MEDIUM,39,0,1.950575829,0,0,-1,0,yes,Large,Large,Short,Short,0,0,0,0,NO soot pollution,no,no,0,1,1,-1,-7,69,-9,22,12,16,1.950575829,no,0,1.097906561,230,OK ,OK ,OK 
Scene 30,SMALL,35,0,1.955375791,-1,0,0,0,no,Large,Large,Short,Short,1,0,0,0,NO soot pollution,yes,yes,0,0,0,0,-48,32,-18,26,34,4,1.955375791,yes,0,4.200622842,106,Unknown,Not recommended ,OK 
Scene 31,MEDIUM,65,1,1.230901122,0,1,1,-1,no,Large,Large,Short,Short,0,1,0,1,NO soot pollution,yes,yes,0,1,0,1,-31,93,-6,61,44,19,1.230901122,yes,1,2.185338547,229,Unknown,Not recommended ,OK 
Scene 32,SMALL,29,0,0.124550842,0,0,0,0,yes,Large,Large,Short,Short,0,0,-1,0,NO soot pollution,yes,yes,0,0,1,0,-30,49,-45,33,18,2,0.124550842,yes,0,1.699173675,443,Consider ,Not recommended ,OK 
Scene 33,SMALL,63,1,1.710334063,0,1,0,-1,yes,Large,Large,Short,Short,0,1,0,-1,YES soot pollution,no,no,0,1,0,0,-28,51,-42,55,23,14,1.710334063,no,1,1.21267775,320,Unknown,Not recommended ,Consider 
Scene 34,SMALL,42,1,0.869905829,1,-1,0,1,no,Large,Large,Short,Short,0,0,0,1,YES soot pollution,yes,yes,0,-1,0,-1,-17,22,-38,39,25,4,0.869905829,yes,1,4.98216676,475,Unknown,Not recommended ,OK 
Scene 35,SMALL,78,1,0.838909984,1,0,0,0,no,Large,Large,Short,Short,0,0,0,-1,YES soot pollution,yes,yes,1,0,0,-1,-16,63,-30,47,7,4,0.838909984,yes,1,2.11067989,352,Unknown,Not recommended ,OK 
Scene 36,MEDIUM,25,1,0.839779735,1,0,-1,1,yes,Large,Large,Short,Short,1,0,-1,1,NO soot pollution,yes,no,-1,1,1,-1,-26,28,-22,13,44,14,0.839779735,no,1,4.331011563,291,OK ,OK ,OK 
Scene 37,LARGE,37,0,0.119316183,1,0,0,0,yes,Large,Large,Short,Short,-1,0,0,0,NO soot pollution,no,yes,-1,1,0,0,-21,99,-11,16,28,21,0.119316183,yes,0,3.711910334,268,OK ,OK ,OK 
Scene 38,MEDIUM,25,1,1.578807116,1,0,0,0,no,Large,Large,Short,Short,1,0,0,0,NO soot pollution,yes,no,0,0,0,0,-47,75,-47,11,18,20,1.578807116,no,1,2.755729548,492,OK ,Not recommended ,OK 
Scene 39,MEDIUM,93,0,0.158676729,0,0,0,0,no,Large,Large,Short,Short,0,1,0,0,YES soot pollution,no,yes,0,-1,0,0,-36,23,-41,53,38,10,0.158676729,yes,0,1.370989647,98,Consider ,Not recommended ,OK 
Scene 40,MEDIUM,21,1,0.370555103,0,0,-1,1,no,Large,Large,Short,Short,0,1,1,-1,YES soot pollution,yes,yes,0,-1,-1,1,-42,19,-40,80,31,20,0.370555103,yes,1,4.241832095,481,OK ,Not recommended ,OK 
Scene 41,MEDIUM,95,0,0.223747432,0,-1,0,0,no,Large,Large,Short,Short,-1,0,0,0,YES soot pollution,no,no,1,0,0,0,-21,50,-30,24,40,16,0.223747432,no,0,4.423399565,19,Unknown,Not recommended ,Consider 
Scene 42,MEDIUM,91,0,1.088199019,0,0,0,0,yes,Large,Large,Short,Short,0,0,0,0,NO soot pollution,no,yes,0,0,0,0,-20,51,-28,64,14,16,1.088199019,yes,0,4.331558683,275,Go to next season ,OK ,OK 
Scene 43,SMALL,41,0,1.772310257,0,0,0,0,no,Large,Large,Short,Short,1,-1,0,0,YES soot pollution,yes,no,1,-1,0,0,-30,70,-42,7,37,13,1.772310257,no,0,3.288641606,459,Go to next season ,Not recommended ,Consider 
Scene 44,MEDIUM,84,1,1.537888169,0,0,-1,0,no,Large,Large,Short,Short,0,0,-1,-1,NO soot pollution,no,yes,0,0,-1,-1,-29,62,-5,59,20,6,1.537888169,yes,1,3.088458561,369,Unknown,Not recommended ,OK 
Scene 45,SMALL,78,0,0.785303414,0,0,0,-1,no,Large,Large,Short,Short,0,0,1,0,YES soot pollution,yes,yes,0,0,0,0,-44,58,-19,78,10,20,0.785303414,yes,0,4.797774543,393,Consider ,Not recommended ,OK 
Scene 46,MEDIUM,14,1,1.824258089,0,1,1,0,yes,Large,Large,Short,Short,0,1,1,1,NO soot pollution,yes,yes,0,0,0,0,-35,26,-30,61,32,19,1.824258089,yes,1,1.458807552,61,OK ,OK ,OK 
Scene 47,MEDIUM,21,0,1.989823699,0,1,-1,0,yes,Large,Large,Short,Short,0,-1,0,0,YES soot pollution,no,no,1,1,-1,1,-11,37,-3,3,7,11,1.989823699,no,0,3.675001539,347,OK ,OK ,Consider 
Scene 48,SMALL,28,0,1.315324306,0,1,0,-1,no,Large,Large,Short,Short,0,1,0,1,YES soot pollution,no,no,0,0,0,1,-19,65,-28,64,5,16,1.315324306,no,0,3.245658532,489,Unknown,Not recommended ,Consider 
Scene 49,MEDIUM,44,1,1.981179595,0,1,1,1,no,Large,Large,Short,Short,0,0,-1,0,NO soot pollution,yes,no,0,-1,0,-1,-46,40,-9,90,36,8,1.981179595,no,1,1.590614845,11,OK ,Not recommended ,OK 
Scene 50,MEDIUM,23,1,0.406148583,1,1,1,0,yes,Large,Large,Short,Short,-1,0,-1,1,NO soot pollution,yes,no,-1,-1,1,1,-18,77,-18,30,2,16,0.406148583,no,1,1.419008129,212,OK ,Unknown,Unknown
Scene 51,SMALL,99,1,0.51341331,0,0,0,0,yes,Large,Large,Short,Short,0,0,0,0,YES soot pollution,no,no,0,0,-1,0,-8,39,-1,21,33,20,0.51341331,no,1,2.404433488,10,Consider ,OK ,Consider 
Scene 52,MEDIUM,98,0,1.192832351,0,0,0,0,no,Large,Large,Short,Short,-1,0,0,0,YES soot pollution,no,no,0,0,0,0,-23,50,-28,72,18,5,1.192832351,no,0,3.137338228,451,Go to next season ,Not recommended ,Consider 
Scene 53,SMALL,24,1,0.670377493,1,-1,0,0,yes,Large,Large,Short,Short,0,1,0,0,NO soot pollution,yes,no,0,1,0,-1,-8,39,0,62,6,16,0.670377493,no,1,2.861247083,381,Unknown,OK ,OK 
Scene 54,SMALL,19,0,0.598802924,-1,0,0,0,yes,Large,Large,Short,Short,1,0,0,0,NO soot pollution,yes,yes,0,0,0,0,-14,12,-42,38,7,17,0.598802924,yes,0,3.08378846,315,Unknown,OK ,OK 
Scene 55,MEDIUM,39,1,0.126259252,0,0,0,-1,yes,Large,Large,Short,Short,0,0,0,0,YES soot pollution,no,yes,0,-1,0,1,-45,40,-31,28,16,18,0.126259252,yes,1,1.142939101,200,OK ,OK ,OK 
Scene 56,LARGE,34,1,1.714394212,1,0,0,1,yes,Large,Large,Short,Short,1,0,1,0,YES soot pollution,yes,no,-1,0,1,0,1,30,-48,67,31,5,1.714394212,no,1,4.446738915,473,OK ,OK ,Consider 
Scene 57,SMALL,26,1,0.824821234,0,0,0,0,yes,Large,Large,Short,Short,0,0,0,-1,YES soot pollution,no,no,0,0,0,-1,-1,12,-11,94,13,2,0.824821234,no,1,1.430701823,85,Consider ,Not recommended ,Consider 
Scene 58,SMALL,94,1,1.55523169,-1,0,0,-1,yes,Large,Large,Short,Short,-1,0,0,-1,YES soot pollution,yes,yes,0,0,0,-1,-30,61,-40,8,36,6,1.55523169,yes,1,3.625287496,469,Unknown,Not recommended ,OK 
Scene 59,LARGE,83,1,0.31972757,1,0,1,0,yes,Large,Small,Short,Short,0,0,0,-1,NO soot pollution,no,yes,1,0,-1,-1,-4,14,-20,49,0,5,0.31972757,yes,1,1.17954757,366,OK ,Not recommended ,OK 
Scene 60,SMALL,74,0,1.530880213,1,0,0,0,no,Large,Large,Short,Short,-1,1,0,0,NO soot pollution,yes,yes,1,-1,0,0,-6,23,-9,2,11,2,1.530880213,yes,0,2.130492202,468,Unknown,Not recommended ,OK 
Scene 61,LARGE,25,0,0.440027386,0,0,0,1,no,Large,Large,Short,Short,0,0,0,1,YES soot pollution,no,no,0,0,0,-1,-27,52,-48,6,28,13,0.440027386,no,0,2.213367569,316,OK ,Not recommended ,Consider 
Scene 62,LARGE,87,0,1.916389108,0,-1,0,1,no,Large,Large,Short,Short,0,0,0,1,YES soot pollution,no,no,0,0,0,-1,-27,40,-7,53,45,4,1.916389108,no,0,1.199730129,32,OK ,Not recommended ,Consider 
Scene 63,MEDIUM,83,0,1.945217133,0,0,0,0,no,Large,Large,Short,Short,0,1,0,0,NO soot pollution,yes,no,0,1,0,0,-31,42,-32,82,38,21,1.945217133,no,0,3.324673985,483,Go to next season ,Not recommended ,OK 
Scene 64,SMALL,32,1,0.608846843,0,0,0,1,yes,Large,Large,Short,Short,1,0,0,0,YES soot pollution,yes,yes,1,0,0,-1,-36,79,-38,35,48,11,0.608846843,yes,1,3.93312928,305,Consider ,OK ,OK 
Scene 65,LARGE,21,0,1.595125794,0,0,0,0,yes,Large,Large,Short,Short,0,1,0,0,YES soot pollution,no,yes,-1,-1,0,1,-27,73,-28,46,18,5,1.595125794,yes,0,2.060975834,80,OK ,OK ,Unknown
Scene 66,LARGE,55,1,1.52183342,0,-1,1,1,no,Large,Large,Short,Short,1,0,-1,1,YES soot pollution,yes,yes,1,1,-1,0,-27,50,-42,90,18,5,1.52183342,yes,1,4.648131982,278,OK ,Not recommended ,OK 
Scene 67,MEDIUM,74,1,1.501883626,0,0,0,1,yes,Large,Large,Short,Short,0,0,0,0,NO soot pollution,yes,no,0,0,0,0,-4,79,-35,2,33,8,1.501883626,no,1,3.371118389,344,Consider ,OK ,OK 
Scene 68,SMALL,71,0,0.48371622,0,0,1,0,no,Large,Large,Short,Short,0,0,1,0,NO soot pollution,no,no,0,0,1,0,-41,84,-50,79,31,15,0.48371622,no,0,3.71694033,189,Unknown,Not recommended ,OK 
Scene 69,MEDIUM,40,0,1.860331655,0,0,1,-1,no,Large,Large,Short,Short,0,1,0,0,YES soot pollution,yes,yes,0,0,1,0,1,16,-18,16,22,8,1.860331655,yes,0,2.438813101,385,OK ,Not recommended ,OK 
Scene 70,MEDIUM,17,1,0.653597593,-1,0,0,0,no,Large,Large,Short,Short,-1,1,0,0,YES soot pollution,no,yes,0,1,0,0,-28,60,-15,38,6,4,0.653597593,yes,1,1.514364344,249,OK ,Not recommended ,OK 
Scene 71,SMALL,31,1,1.10932076,0,-1,-1,-1,yes,Large,Large,Short,Short,0,-1,-1,-1,YES soot pollution,no,no,0,1,1,1,-41,66,-4,1,15,9,1.10932076,no,1,1.932640359,295,Unknown,Not recommended ,Consider 
Scene 72,SMALL,46,0,0.708827853,1,1,0,0,yes,Large,Large,Short,Short,1,-1,0,0,YES soot pollution,no,no,1,-1,0,0,-36,85,-38,2,3,20,0.708827853,no,0,3.694038857,262,Unknown,OK ,Consider 
Scene 73,LARGE,52,0,0.956769168,1,0,-1,0,no,Large,Large,Short,Short,0,0,0,0,YES soot pollution,yes,no,-1,0,1,0,-6,61,-10,51,21,11,0.956769168,no,0,4.510322246,120,OK ,Not recommended ,Consider 
Scene 74,SMALL,28,1,0.441183865,0,-1,-1,1,yes,Large,Large,Short,Short,0,1,-1,0,YES soot pollution,no,yes,0,0,-1,0,-30,18,-38,78,42,16,0.441183865,yes,1,1.678080601,444,Unknown,OK ,OK 
Scene 75,SMALL,93,1,1.405233502,0,1,0,-1,yes,Large,Large,Short,Short,0,-1,0,-1,YES soot pollution,yes,yes,1,-1,0,1,-41,78,-40,52,23,19,1.405233502,yes,1,2.689343505,472,Unknown,Not recommended ,OK 
Scene 76,MEDIUM,68,1,1.591405272,-1,0,0,1,yes,Large,Large,Short,Short,-1,0,1,-1,YES soot pollution,yes,no,1,0,1,-1,-8,68,-6,72,14,17,1.591405272,no,1,3.86791469,455,Unknown,Not recommended ,Consider 
Scene 77,LARGE,16,0,1.910915494,1,-1,-1,0,no,Large,Large,Short,Short,0,0,-1,0,NO soot pollution,yes,yes,1,1,-1,0,0,14,-27,51,47,15,1.910915494,yes,0,4.128247135,480,OK ,Not recommended ,OK 
Scene 78,MEDIUM,48,0,1.448635817,-1,1,0,-1,no,Large,Large,Short,Short,1,0,-1,0,NO soot pollution,yes,no,-1,0,-1,0,-27,12,-7,35,5,18,1.448635817,no,0,2.445544776,19,OK ,Not recommended ,OK 
Scene 79,LARGE,57,0,1.430073619,0,0,0,0,no,Large,Large,Short,Short,1,0,0,0,YES soot pollution,yes,no,0,0,0,0,-4,15,-12,34,8,7,1.430073619,no,0,1.455573949,258,OK ,Not recommended ,Consider 
Scene 80,SMALL,94,0,1.717081666,0,0,0,1,yes,Large,Large,Short,Short,0,0,0,-1,NO soot pollution,yes,yes,0,0,0,0,-16,16,-18,1,45,4,1.717081666,yes,0,1.496414215,384,Go to next season ,Not recommended ,OK 
Scene 81,MEDIUM,68,0,1.963983774,0,0,0,0,yes,Large,Large,Short,Short,0,0,0,-1,NO soot pollution,no,no,0,0,0,-1,-47,37,1,55,41,14,1.963983774,no,0,1.593130047,342,Go to next season ,Not recommended ,OK 
Scene 82,MEDIUM,32,0,0.606121659,0,0,1,0,yes,Large,Large,Short,Short,0,0,1,0,YES soot pollution,yes,yes,0,0,1,0,-27,54,-2,7,35,15,0.606121659,yes,0,2.130950934,465,OK ,OK ,OK 
Scene 83,SMALL,59,0,0.533248007,0,0,0,-1,yes,Large,Large,Short,Short,1,0,0,1,NO soot pollution,yes,no,0,0,0,0,-29,70,-50,1,18,2,0.533248007,no,0,2.765950592,438,Consider ,OK ,OK 
Scene 84,SMALL,54,0,1.663142323,-1,0,0,0,no,Large,Large,Short,Short,1,0,0,-1,NO soot pollution,no,yes,-1,0,0,-1,-8,43,-35,8,15,3,1.663142323,yes,0,4.077896502,492,Unknown,Not recommended ,Consider 
Scene 85,LARGE,10,1,0.51962018,0,1,0,0,yes,Large,Large,Short,Short,0,-1,0,-1,YES soot pollution,yes,yes,0,-1,0,-1,-32,34,-26,17,49,9,0.51962018,yes,1,2.184474551,60,OK ,Not recommended ,OK 
Scene 86,SMALL,29,1,1.284153938,0,-1,1,0,yes,Large,Large,Short,Short,-1,-1,0,1,NO soot pollution,no,no,1,1,0,0,-43,78,-41,45,35,6,1.284153938,no,1,2.582593915,340,Unknown,Unknown,OK 
Scene 87,MEDIUM,32,0,1.915228605,1,1,0,1,no,Large,Large,Short,Short,-1,0,0,1,YES soot pollution,yes,no,0,-1,0,-1,-32,86,-4,42,48,7,1.915228605,no,0,1.372260779,311,OK ,Not recommended ,Consider 
Scene 88,SMALL,45,0,0.856608391,-1,0,1,0,yes,Large,Large,Short,Short,1,0,-1,0,NO soot pollution,no,yes,0,0,0,0,1,21,-29,50,29,12,0.856608391,yes,0,4.994307355,220,Unknown,OK ,OK 
Scene 89,SMALL,41,0,1.670972466,0,0,0,0,yes,Large,Large,Short,Short,1,0,0,1,YES soot pollution,yes,no,1,0,0,-1,-46,27,-18,87,49,8,1.670972466,no,0,1.857042552,46,Go to next season ,OK ,Consider 
Scene 90,LARGE,41,0,0.459593773,0,0,0,0,yes,Large,Large,Short,Short,0,-1,-1,0,NO soot pollution,no,no,0,0,-1,0,-42,74,-18,67,48,5,0.459593773,no,0,4.570916571,326,OK ,OK ,OK 
Scene 91,MEDIUM,94,0,0.874356866,0,0,0,1,no,Large,Large,Short,Short,0,0,1,1,YES soot pollution,yes,yes,0,0,1,-1,-33,24,-15,86,32,2,0.874356866,yes,0,4.313463001,221,Consider ,Not recommended ,OK 
Scene 92,LARGE,49,0,0.228429422,-1,0,0,0,yes,Large,Large,Short,Short,-1,1,1,0,YES soot pollution,no,yes,1,-1,-1,0,-3,43,-44,23,11,9,0.228429422,yes,0,1.508162513,47,OK ,Unknown,OK 
Scene 93,LARGE,87,1,0.781162858,0,0,-1,1,yes,Large,Large,Short,Short,-1,0,1,0,NO soot pollution,yes,no,1,1,-1,0,-25,95,-7,57,25,19,0.781162858,no,1,2.296872567,223,OK ,Unknown,OK 
Scene 94,MEDIUM,11,1,0.296245784,0,0,-1,-1,yes,Large,Large,Short,Short,0,0,-1,0,NO soot pollution,yes,no,0,0,-1,0,-1,67,-2,97,44,11,0.296245784,no,1,3.986322245,459,OK ,Not recommended ,OK 
Scene 95,MEDIUM,64,0,0.382186621,0,1,0,-1,yes,Large,Large,Short,Short,0,1,-1,1,YES soot pollution,yes,no,0,1,0,1,-43,18,-40,54,8,11,0.382186621,no,0,4.832768371,174,Unknown,OK ,Consider 
Scene 96,SMALL,10,0,0.146382123,-1,0,0,0,yes,Large,Large,Short,Short,1,0,0,0,NO soot pollution,no,no,-1,1,0,-1,-31,37,-24,94,48,11,0.146382123,no,0,2.93053964,293,Unknown,OK ,OK 
Scene 97,LARGE,64,1,0.995238185,-1,0,-1,1,yes,Large,Large,Short,Short,-1,0,0,-1,YES soot pollution,yes,no,1,0,0,-1,-12,82,-34,60,13,2,0.995238185,no,1,1.747283759,476,OK ,Not recommended ,Consider 
Scene 98,SMALL,96,1,0.559407413,0,0,0,0,no,Large,Large,Short,Short,-1,-1,-1,-1,NO soot pollution,yes,yes,-1,1,-1,0,-47,93,-22,36,2,13,0.559407413,yes,1,4.259165237,192,Consider ,Not recommended ,OK 
Scene 99,LARGE,80,1,0.248099625,-1,0,0,0,yes,Large,Small,Short,Short,0,0,0,-1,NO soot pollution,yes,yes,0,0,0,0,-3,85,-13,33,0,11,0.248099625,yes,1,4.287425326,191,OK ,Not recommended ,OK 
Scene 100,MEDIUM,51,0,0.107050367,0,0,0,0,no,Large,Large,Short,Short,0,0,1,0,NO soot pollution,yes,yes,0,0,1,0,-42,42,-42,3,1,9,0.107050367,yes,0,4.715379903,462,Consider ,Not recommended ,OK 
Scene 101,MEDIUM,32,1,0.55203557,1,0,-1,-1,yes,Large,Large,Short,Short,-1,0,1,-1,NO soot pollution,no,no,0,-1,1,0,-23,17,-21,54,22,4,0.55203557,no,1,4.32449792,401,OK ,Not recommended ,OK 
Scene 102,LARGE,36,0,0.893604875,0,-1,-1,0,yes,Large,Large,Short,Short,1,0,0,0,NO soot pollution,yes,no,-1,1,1,0,-25,31,-36,56,32,19,0.893604875,no,0,3.443203828,199,OK ,OK ,Unknown
Scene 103,LARGE,23,0,0.337247044,0,0,0,0,no,Large,Large,Short,Short,0,0,0,0,YES soot pollution,no,yes,0,0,0,0,-15,74,-35,53,19,16,0.337247044,yes,0,1.129505573,285,OK ,Not recommended ,OK 
Scene 104,SMALL,52,1,1.191581488,0,0,0,-1,no,Large,Large,Short,Short,0,0,0,-1,NO soot pollution,no,yes,0,-1,0,0,-13,62,-33,0,7,5,1.191581488,yes,1,1.124755392,488,Consider ,Not recommended ,OK 
Scene 105,MEDIUM,44,0,1.350610018,0,-1,0,-1,no,Large,Large,Short,Short,0,0,0,0,NO soot pollution,yes,yes,0,1,0,0,-34,31,-15,59,17,17,1.350610018,yes,0,2.98421635,210,OK ,Not recommended ,OK 
Scene 106,SMALL,13,0,0.845945776,1,0,1,0,no,Large,Large,Short,Short,1,0,-1,0,YES soot pollution,no,yes,-1,0,0,0,-20,72,-15,64,29,20,0.845945776,yes,0,2.790660065,150,Unknown,Not recommended ,OK 
Scene 107,MEDIUM,75,0,0.211595625,0,0,0,0,no,Large,Large,Short,Short,0,0,0,0,NO soot pollution,no,no,0,0,0,0,-8,12,-10,76,31,18,0.211595625,no,0,4.605340277,450,Consider ,Not recommended ,OK 
Scene 108,LARGE,31,0,0.768249154,-1,0,1,-1,no,Large,Large,Short,Short,0,0,0,-1,YES soot pollution,no,yes,-1,0,1,-1,-16,56,-10,55,15,3,0.768249154,yes,0,2.242387801,159,OK ,Not recommended ,Consider 
Scene 109,LARGE,26,0,1.188731194,0,0,0,0,no,Large,Large,Short,Short,0,0,-1,0,YES soot pollution,no,yes,0,0,0,0,-29,45,-46,13,31,12,1.188731194,yes,0,4.691045898,391,OK ,Not recommended ,OK 
